FMID,MarketName,Website,Facebook,Twitter,Youtube,OtherMedia,street,city,County,State,zip,Season1Date,Season1Time,Season2Date,Season2Time,Season3Date,Season3Time,Season4Date,Season4Time,x,y,Location,updateTime
1012253,Goshen Farmers Market,http://Goshen New York Chamber.com,Goshenfarmersmarket,,,,33 Park Place,Goshen,Orange,New York,10924,05/20/2016 to 10/28/2016,Fri: 10:00 AM-5:00 PM;,,,,,,,-74.323258,41.402116,,7/5/2016 15:41
1012254,Dawson Farmers Market,,dawson madison farmers market,,,,Ash  and 8th street,Dawson ,Lac qui Parle,Minnesota,56232,06/30/2016 to 10/13/2016,Thu: 4:00 PM-6:00 PM;,,,,,,,-96.0574386,44.9259444,,7/5/2016 15:43
1012255,East Lansing Farmer's Market,http://www.cityofeastlansing.com/farmersmarket,https://www.facebook.com/elfarmersmarket/,https://twitter.com/elfarmersmarket/,,,280 Valley Court,East Lansing,Ingham,Michigan,48823,06/05/2016 to 10/30/2016,Sun: 10:00 AM-2:00 PM;,,,,,,,-84.48749,42.737508,,7/5/2016 15:39
1012256,Downtown Fond du Lac Farmers Market - Wednesday,http://www.downtownfdl.com/farmers-market.html,https://www.facebook.com/FondDuLacFarmersMarket/,,https://www.youtube.com/channel/UCA4zODGpao80RPD27BFfPzA,https://www.instagram.com/downtownfdl/,Main Street Plaza ,Fond du Lac,Fond du Lac,Wisconsin,54935,06/01/2016 to 10/26/2016,Wed: 11:00 AM-3:00 PM;,,,,,,,-88.447092,43.777853,,7/5/2016 16:54
1012257,Brookland's Monroe St Farmers Market,http://www.community-foodworks.org/monroe-street-ne,https://www.facebook.com/FarmersMarketontheArtsWalk/,https://twitter.com/monroestfm,,,716 Monroe St NE,"Washington, DC",District of Columbia,District of Columbia,20018,04/16/2016 to 12/17/2016,Sat: 9:00 AM-1:00 PM;,,,,,,,-76.995089,38.933091,,7/5/2016 17:19
1012258,Rhode Island Row Farmers Market,http://www.community-foodworks.org/rhode-island-row-ne,https://www.facebook.com/rhodeislandavefarmersmarket/,,,,2300 Washington Pl NE,"Washington, DC",District of Columbia,District of Columbia,20017,,Thu: 4:00 AM-7:30 PM;,,,,,,,-76.993783,38.92131,,7/5/2016 17:24
1012260,High Springs Farmers Market,http://farmersmarket.highsprings.com,fb.com/farmersmarkethighsprings,,,,115 NE Railroad Avenue,High Springs,Alachua,Florida,32643,01/01/2016 to 12/31/2016,Thu: 12:00 PM-4:00 PM;,,,,,,,-82.596257,29.825509,,7/5/2016 18:25
1012261,West Anaheim Farmers' Market,http://www.downtownanaheim.com/westanaheimfarmersmarket,https://www.facebook.com/westanaheimfarmersmarket,,,,3100 W Orange Ave,Anaheim,Orange,California,92804,05/01/2016 to 10/01/2016,Wed: 4:00 PM-8:00 PM;,,,,,,,-117.998416,33.824344,,7/5/2016 20:09
1012262,Happy Valley Farmers Market ,http://happyvalleyfm.com,https://www.facebook.com/HappyValleyFM/,,,,100 east Main St. ,American Fork ,Utah,Utah,84058,06/15/2016 to 10/26/2016,Wed: 5:00 AM-9:00 PM;,,,,,,,-111.7959181,40.376769,,7/5/2016 20:19
1012265,Copley Creekside Farmers Market,http://copleyfarmersmarket.com/,https://www.facebook.com/CopleyCreeksideFarmersMarket/,https://twitter.com/copleyfm,,https://www.instagram.com/copleymarket/,1245 S Cleveland-Massillon Rd,Copley,Summit,Ohio,44321,05/26/2016 to 10/06/2016,Thu: 3:00 PM-6:00 PM;,,,,,,,-81.643846,41.103803,,7/6/2016 7:14
1012266,St. Charles Farmers' Marketplace,http://stcmi.com,stcmarketplace,,,,110 W. Spruce,St. Charles,Saginaw,Michigan,48655,06/07/2016 to 10/04/2016,Tue: 2:00 PM-7:00 PM;,,,,,,,-84.147648,43.298335,,7/6/2016 8:23
1012268,Plainwell Farmers Market,http://plainwell.org,Plainwell Farmers Market Official,@PlainwellMarket,,,200 W. Allegan St.,Plainwell ,Allegan,Michigan,49080,05/20/2016 to 10/28/2016,Tue: 3:00 PM-6:00 PM;Fri: 10:00 AM-4:00 PM;,11/26/2016 to 12/17/2016,Sat: 10:00 AM-2:00 PM;,,,,,-85.6451219,42.4443,,7/6/2016 14:34
1012269,Kensington Metropark Farmers Market,http://www.metroparks.com/facilities-education/kensington-farm-center/,https://www.facebook.com/KensingtonMetropark/,,,,4570 Huron River Parkway,Milford,Oakland,Michigan,48380,06/03/2016 to 09/30/2016,Fri: 9:00 AM-2:00 PM;,,,,,,,-83.634008,42.551403,,7/6/2016 9:25
1012270,Rodale Institute Organic Farmers Market at the Y,http://www.rodaleinstitute.org,https://www.facebook.com/rodaleinstituteallentownmarket/,,,,425 S. 15th St.,Allentown,Lehigh,Pennsylvania,18102,06/04/2016 to 10/29/2016,Sat: 9:00 AM-1:00 PM;,,,,,,,-75.485142,40.59255,,7/6/2016 10:49
1012271,Rodale Institute Organic Farmers Market at Sacred Heart,http://www.rodaleinstitute.org,https://www.facebook.com/rodaleinstituteorganicmarketon7th/,,,,450 W. Chew St.,Allentown,Lehigh,Pennsylvania,18102,06/02/2016 to 10/27/2016,Thu: 3:00 PM-6:00 PM;,,,,,,,-75.469507,40.607196,,7/6/2016 10:46
1012273,Chazy Orchards Farm Market,http://www.chazy.com,https://www.facebook.com/ChazyOrchardsInc,,,,9486 Route 9,Chazy,Clinton,New York,12921,09/06/2016 to 12/24/2016,Mon: 8:00 AM-5:00 PM;Tue: 8:00 AM-5:00 PM;Wed: 8:00 AM-5:00 PM;Thu: 8:00 AM-5:00 PM;Fri: 8:00 AM-5:00 PM;Sat: 8:00 AM-4:00 PM;Sun: 8:00 AM-4:00 PM;,,,,,,,-73.4299444,44.8803997,,7/6/2016 11:59
1012274,Mount Clemens Farmers Market Downtown,http://mountclemensfarmersmarket@gmail.com,https://www.facebook.com/Mount-Clemens-Farmers-Market-105767222777622/,,,,125 Macomb Pl,Mount Clemens ,Macomb,Michigan,48043,07/20/2016 to 09/21/2016,Wed: 2:00 PM-6:00 PM;,,,,,,,-82.881506,42.598055,,7/6/2016 12:04
1012275,SWANSEA FARMERS MARKET,,https://www.facebook.com/swanseafarmersmarket16,,,,1210 Wilbur Ave,Swansea,Bristol,Massachusetts,2777,01/01/2016 to 12/31/2016,Sun: 10:00 AM-2:00 PM;,,,,,,,-71.2342916,41.7321705,,7/6/2016 12:13
1012276,The ARA Farm Market,,,,,,854 N Barlow Rd,Lincoln,Alcona,Michigan,48742,04/30/2016 to 11/19/2016,Sat: 9:00 AM-12:30 PM;,,,,,,,-83.403527,44.682817,,7/7/2016 9:52
1012277,North Port Farmers Market,http://www.northportfarmersmarket.com,northportfarmersmarket,,,,4970 city hall blvd.,North Port ,Sarasota,Florida,34286,10/07/2016 to 04/28/2017,Fri: 9:00 AM-2:00 PM;,,,,,,,-82.206423,27.074732,,7/6/2016 16:01
1012278,St. Petersburg Saturday Morning Market,http://www.saturdaymorningmarket.com,https://www.facebook.com/Saturday-Morning-Market,SPSatAMMkt,,,First Street and First Avenue South,St Petersburg,Pinellas,Florida,33701,10/01/2016 to 05/27/2017,Sat: 9:00 AM-2:00 PM;,06/04/2016 to 08/27/2016,Sat: 9:00 AM-1:00 PM;,,,,,-82.631968,27.777957,,7/6/2016 16:14
1012279,Marshall Farmers Market,,Marshall Farmers Market ,,,,116 West College Drive ( parking lot),Marshall ,Lyon,Minnesota,56258,,Sat: 7:30 AM-12:00 PM;,,,,,,,-95.790891,44.445911,,7/6/2016 16:28
1012280,39 North Marketplace,http://www.39northdowntown.com,39 North ,39North Downtown,,,Downtown Sparks Victorian Ave,Sparks,Washoe,Nevada,89431,06/09/2016 to 08/18/2016,Thu: 4:00 PM-9:00 PM;,,,,,,,-119.754962,39.534773,,7/6/2016 17:19
1012282,Thursday Marin Farmers Market,http://agriculturalinstitute.org,www.facebook.com/MarinFarmersMarkets/,,,www.instagram.com/aim_farmers_markets/,Avenue of the Flags,San Rafael ,Marin,California,94903,01/01/2016 to 12/31/2016,Thu: 8:00 AM-1:00 PM;,,,,,,,-122.534713,38.000824,,7/6/2016 18:30
1012283,Painted Desert Farmer's Market,,https://www.facebook.com/PaintedDesertFarmersMarket/,,,,Hwy 160 and Hwy 264,Tuba City,Coconino,Arizona,86045,07/11/2016 to 10/03/2016,Mon: 3:30 PM-8:30 PM;,,,,,,,-111.227557,36.120033,,7/6/2016 19:03
1012285,Food Hub Fridays Farmers Market,http://www.fallonfoodhub.com/food-hub-fridays/,https://www.facebook.com/foodhubfridays/,,,,40 E Center St,Fallon,Churchill,Nevada,89406,06/03/2016 to 09/30/2016,Fri: 4:00 PM-7:00 PM;,,,,,,,-118.776097,39.473092,,7/7/2016 13:38
1012286,On the Ranch Farmers & Artisan Market,http://ontheranchmarket.com,http://facebook.com/ontheranchmarket,http://twitter.com/ontheranchnlv,http://youtube.com/Ontheranchtv,http://instagram.com/ontheranchmarket,628 W. Craig Rd,North Las Vegas,Clark,Nevada,89032,01/01/2016 to 12/31/2016,Sun: 8:00 AM-1:00 PM;,,,,,,,-115.151709,36.246614,,7/6/2016 20:16
1012287,Libby Farmer's Market,,,,,,905 W 9th St.,Libby ,Lincoln,Montana,59923,05/11/2016 to 10/06/2016,Thu: 12:00 PM-5:00 PM;,,,,,,,-115.5630777,48.3924647,,7/6/2016 21:45
1012288,Adrian Farmers Market,,,,,,115 Toledo Street,Adrian ,Lenawee,Michigan,49221,05/07/2016 to 10/29/2016,Sat: 9:00 AM-1:00 PM;,,,,,,,-84.034589,41.900169,,7/6/2016 21:49
1012289,Louisiana Community Betterment Farmer's Market,,Louisiana Community Betterment Farmers Market,,,,"Sunset Park, Georgia Street",Louisiana ,Pike,Missouri,63353,05/04/2016 to 10/26/2016,Wed: 3:00 PM-6:00 PM;,,,,,,,-91.062347,39.441483,,7/6/2016 23:14
1012290,Trout Creek Farmers Market ,http://Troutcreekfarmersmarket.com,https://m.facebook.com/Trout-Creek-Farmers-Market-487390187942809/?ref=bookmarks,,,,Trout Creek Park,Trout Creek,Sanders,Montana,59874,07/06/2016 to 09/28/2016,Wed: 4:00 PM-6:00 PM;,,,,,,,-115.587968,47.832475,,7/7/2016 0:43
1012292,Downtown Henderson Farmers Market,http://hendersonfarmersmarketnv.com,https://www.facebook.com/Henderson-Farmers-Market-Nevada-591107304365347/,,,,,Henderson ,Clark,Nevada,,01/01/2016 to 12/31/2016,Thu: 9:00 AM-4:00 PM;Fri: 9:00 AM-4:00 PM;,,,,,,,-114.9817213,36.0395247,,7/7/2016 9:20
1012293,Walker County Farmer's Market ,,https://m.facebook.com/pages/Walker-County-Farmers-Market/121903267889346,,,,1501 Airport Road ,Jasper ,Walker,Alabama,35001,05/21/2016 to 10/22/2016,Tue: 7:00 AM-12:00 PM;Thu: 7:00 AM-12:00 PM;Sat: 7:00 AM-12:00 PM;,,,,,,,-87.266542,33.867565,,7/7/2016 9:26
1012294,Elaney Wood Heritage Farmers Market,http://http//www.greene.ces.ncsu.edu,Elaney Wood Heritage Farmers Market,,,,470 Hwy 13 South,Snow Hill ,Greene,North Carolina,28580,04/02/2016 to 10/29/2016,Sat: 8:00 AM-1:00 PM;,,,,,,,-77.692573,35.456422,,7/7/2016 10:16
1012295,Westgate Farmers' Market @ Elder Beerman,http://www.toledofarmersmarket.com,Toledo Farmers Market,,,,3300 Secor Road,Toledo ,Lucas,Ohio,43606,05/18/2016 to 10/26/2016,Wed: 3:00 PM-7:00 PM;,,,,,,,-83.62351,41.680346,,7/7/2016 9:47
1012296,DeForest Area Farmers' Market,http://www.vi.deforest.wi.us/index.asp?Type=B_BASIC&SEC={38A90127-1135-4F1B-99D2-5AC8EE5AF484},https://www.facebook.com/DeFoFarmersMarket/,,,,Jefferson Street and Stevenson Street,DeForest,Dane,Wisconsin,53532,05/24/2016 to 10/26/2016,Tue: 3:00 PM-6:00 PM;,,,,,,,-89.338933,43.245438,,7/7/2016 9:55
1012297,Village Market- Slavic Village,http://slavicvillage.org/villagemarket,https://www.facebook.com/VillageMarketSlavicVillage/,,,,5106 Fleet Ave,Cleveland ,Cuyahoga,Ohio,44065,06/13/2016 to 08/29/2016,Mon: 4:00 PM-7:00 PM;,,,,,,,-81.654618,41.455556,,7/7/2016 10:36
1012298,Downtown Bedford Farmers Market,http://www.downtownbedford.com,https://www.facebook.com/DowntownBedford/?fref=ts,,,,124 South Juliana Street,Bedford,Bedford,Pennsylvania,15522,05/18/2016 to 10/26/2016,Wed: 9:00 AM-1:00 PM;,,,,,,,-78.503873,40.018113,,7/7/2016 10:17
1012300,Hudsonville Farmers Market & Crafts,http://www.fcelevator.com/index.cfm?show=10&mid=16,https://www.facebook.com/Hudsonville-Farmers-Market-Crafts-131002943577800/,,,,3302 Prospect Street,Hudsonville,Ottawa,Michigan,49426,06/01/2016 to 10/05/2016,Wed: 8:00 AM-2:00 PM;,,,,,,,-85.864407,42.867745,,7/7/2016 10:42
1012301,Douglas Farmers Market,http://www.douglasfarmersmarket.org,https://www.facebook.com/douglasfarmers/?fref=ts,,,https://www.pinterest.com/dfmdouglas/pins/follow/?guid=sBaF_fjNueeh,283 Main Street,Douglas,Worcester,Massachusetts,MA,06/18/2016 to 10/01/2016,Sat: 9:00 AM-12:00 PM;,,,,,,,-71.7136899,42.0721862,,7/7/2016 10:46
1012303,"Deer Lodge Community Garden ""U Pick""  Farmers Market",,Deeer Lodge Community Garden,,,,519 Higgins ,Deer Lodge ,Powell,Montana,59722,08/13/2016 to 09/17/2016,Sat: 9:00 AM-12:00 PM;,,,,,,,-112.7313469,46.4023382,,7/7/2016 11:44
1012304,Red Lodge Farmers' Market ,http://redlodgefarmersmarket.org,https://www.facebook.com/redlodgefarmersmarket/?fref=ts,,,,Lions Park ,Red Lodge ,Carbon,Montana,59068,06/24/2016 to 09/30/2016,Fri: 3:30 PM-6:00 PM;,,,,,,,-109.248157,45.190151,,7/7/2016 11:42
1012307,The Market Square Farmers' Market,http://marketsquarefarmersmarket.org/,https://www.facebook.com/marketsquarefarmersmarket/,https://twitter.com/mktsqfarmersmkt,,https://www.instagram.com/marketsquarefarmersmarket/,Market Square,Knoxville,Knox,Tennessee,37902,05/04/2016 to 11/19/2016,Wed: 11:00 AM-2:00 PM;Sat: 9:00 AM-2:00 PM;,,,,,,,-83.9193932,35.9646521,,7/7/2016 12:11
1012308,Festival Farmers Market,,,,,,942 Main Street, Cobleskill,Schoharie,New York,12043,07/09/2016 to 10/08/2016,Wed: 3:00 PM-5:00 PM;Sat: 10:00 AM-2:00 PM;,,,,,,,-74.4669868,42.6792512,,7/7/2016 12:01
1012309,Cornville Farmer's Market,http://cornvilleaz.org,,,,,,Cornville,Yavapai,Arizona,86325,05/16/2016 to 10/10/2016,Mon: 4:00 PM-7:00 PM;,,,,,,,-111.918668,34.718187,,7/7/2016 12:12
1012310,UT Farmers Market,http://vegetables.tennessee.edu/utfm.html,https://www.facebook.com/UT-Farmers-Market-197864066906773/,,,https://www.instagram.com/utfarmersmarket/,2518 Jacob Drive,"Knoxville, TN",Knox,Tennessee,37996,05/11/2016 to 10/19/2016,Wed: 4:00 PM-7:00 PM;,,,,,,,-83.9384194,35.9449944,,7/7/2016 12:18
1012311,Goodell Gardens Farmers Market,http://www.goodellgardens.org,www.facebook.com/goodellgardensandhomestead,www.twitter.com/goodellgardens,,www.instagram.com/goodellgardens,221 Waterford Street,Edinboro,Erie,Pennsylvania,16412,06/22/2016 to 09/28/2016,Wed: 3:00 PM-6:00 PM;,,,,,,,-80.1230603,41.8769872,,7/7/2016 12:33
1012313,Ennis Farmer's Market,http://www.madisonfarmtofork.com,https://www.facebook.com/ennismontanafarmersmarket/,,,https://www.instagram.com/ennisfarmers/,S Charles Street and Hwy 287 S,Ennis,Madison,Montana,59729,06/01/2016 to 09/07/2016,Mon: 4:30 PM-6:30 PM;,,,,,,,-111.7336261,45.3490793,,7/7/2016 13:27
1012314,Monore Farmers Market on the Square,http://www.mainstreetmonroe.org,Monroe Farmers Market on the Square,,,,10th St and 16th Ave,Monroe,Green,Wisconsin,53566,05/04/2016 to 10/22/2016,Wed: 1:00 PM-5:30 PM;Sat: 8:00 AM-1:00 PM;,11/19/2016 to 04/15/2017,Sat: 9:00 AM-2:00 PM;,,,,,-89.6398886,42.6021262,,7/7/2016 14:16
1012315,Eureka Area Farmers Market,http://eurekamontana.org,eureka farmers market,,,,Riverside Park,Eureka ,Lincoln,Montana,59917,05/04/2016 to 09/14/2016,Wed: 4:00 PM-6:00 PM;,,,,,,,-115.053403,48.8777197,,7/7/2016 14:25
1012316,Springdale Farmers' Market,http://springdalefarmersmarket.org,none,none,none,none,,Springdale 72764,Washington,Arkansas,72764,05/01/2016 to 11/01/2016,Tue: 7:00 AM-1:00 PM;Thu: 7:00 AM-1:00 PM;Sat: 7:00 AM-1:00 PM;,,,,,,,-94.126811,36.184207,,7/7/2016 14:33
1012317,Painted Post Farmers' Marker -Summer,,https://facebook.com/PaintedPostFarmersMarket,,,,277 Steuben St,Painted Post,Steuben,New York,14870,06/04/2016 to 10/29/2016,Sat: 10:00 AM-2:00 PM;,,,,,,,-77.092384,42.163762,,7/7/2016 15:15
1012318,Ligonier Country Market,http://www.ligoniercountrymarket.org,https://www.facebook.com/LigonierCountryMarket,,,,Corner of Springer Road and West Main Street,Ligonier,Westmoreland,Pennsylvania,15658,05/21/2016 to 10/01/2016,Sat: 8:00 AM-12:00 PM;,,,,,,,-79.2467929,40.2488972,,7/7/2016 15:35
1012320,Bradenton Farmers' Market,http://www.realizebradenton.com/farmers_market,https://www.facebook.com/bradentonfarmersmarket/,,,,300 Old Main Street,Bradenton ,Manatee,Florida,34205,10/01/2016 to 05/27/2017,Sat: 9:00 AM-2:00 PM;,,,,,,,-82.57345,27.497223,,7/7/2016 16:12
1012321,Santa Monica Farmers Market - Sunday Main Street,http://www.farmersmarket.smgov.net,santa monica farmers markets,smfms,City of Santa Monica Farmers Markets,Instagram:  SMFMs,2640 Main Street,Santa Monica,Los Angeles,California,90405,01/01/2016 to 12/31/2016,Sun: 8:30 AM-1:30 PM;,,,,,,,-118.483333,34.0014563,,7/7/2016 16:07
1012323,Downtown Bloomington Association Farmers Market,http://downtownbloomington.org/farmers-market/,https://www.facebook.com/DBAFarmersMarket/,DBFarmersMarket,,,200 N. Main Street,Bloomington,McLean,Illinois,61701,05/07/2016 to 10/29/2016,Sat: 7:30 AM-12:00 PM;,,,,,,,-88.9941015,40.4800126,,7/7/2016 16:17
1012324,Woodstock Farmers Market,http://www.woodstockmarketpdx.com,https://www.facebook.com/woodstockmarketpdx/,https://twitter.com/woodstockfarmer,,,4600 SE Woodstock Blvd,Portland,Multnomah,Oregon,97206,06/05/2016 to 10/30/2016,Sun: 10:00 AM-2:00 PM;,,,,,,,-122.6149508,45.4789791,,7/7/2016 16:13
1012325,Vashon Farmers Market - Saturday,http://www.vigavashon.org,www.facebook.com/vashonfarmersmarket,,,,17519 Vashon Highway SW,Vashon,King,Washington,98070,04/02/2016 to 12/10/2016,Sat: 10:00 AM-2:00 PM;,,,,,,,-122.460747,47.447834,,7/7/2016 16:18
1012326,Farmer's Market at Sandpoint,http://farmersmarketatsandpoint.com,Farmers Market at Sandpoint,,,,"Farmin Park, Oak & 3rd & 4th St.",Sandpoint,Bonner,Idaho,83864,,Wed: 3:00 PM-5:30 PM;Sat: 9:00 AM-1:00 PM;,,,,,,,-116.606641,48.2501658,,7/7/2016 16:19
1012327,South Points Farmers Market,,,,,,4148 Taylor Blvd,Louisville/Jefferson County metro government (balance),Jefferson,Kentucky,40215,,Sun: 11:00 AM-3:00 PM;,,,,,,,-85.784554,38.181518,,7/7/2016 16:24
1012328,Brown Deer Farmers Market,http://www.browndeerfarmersmarket.org/,@BrownDeerFarmersMarket,,,,9078 N. Green Bay Road,Brown Deer,Milwaukee,Wisconsin,53223,06/15/2016 to 10/26/2016,Wed: 9:00 AM-6:00 PM;,,,,,,,-87.961935,43.181343,,7/7/2016 16:22
1012329,Vashon Farmers Market - Wednesday,http://vigavashon.org/farmers-market/,www.facebook.com/vashonfarmersmarket,,,,17519 Vashon Highway SW,Vashon,King,Washington,98070,06/01/2016 to 09/07/2016,Wed: 3:00 PM-6:00 PM;,,,,,,,-122.460661,47.447823,,7/7/2016 16:22
1012330,Kelso Bridge Market,,Kelso Bridge Market,,,,351 Three Rivers Mall Drive,Kelso ,Cowlitz,Washington,98626,05/01/2016 to 08/28/2016,Sun: 10:00 AM-3:00 PM;,,,,,,,-122.877161,46.127435,,7/7/2016 16:30
1012331,Downtown Bloomington Farmers Market- Indoor,http://www.downtownbloomington.org/farmers-market/,DBAFarmersMarket,DBFarmersMarket,,,101 S. Madison St.,Bloomington ,McLean,Illinois,61701,11/19/2016 to 04/15/2017,Sat: 10:00 AM-12:00 PM;,,,,,,,-88.9964823,40.4780683,,7/7/2016 16:44
1012332,Ellington Farmers Market,,https://www.facebook.com/ellingtonfarmersmarket/,https://twitter.com/EllingtonFM,https://www.youtube.com/results?search_query=ellington+farmers+market,https://www.instagram.com/ellingtonfm/,"Arbor Park, Main ST",Ellington,Tolland,Connecticut,6029,05/07/2016 to 10/22/2016,Sat: 9:00 AM-12:00 PM;,,,,,,,-72.4652021,41.9032806,,7/7/2016 16:42
1012333,Dogtown Farmers Market,http://dogtownfarmersmarket.com,dogtownfarmersmarketNLR,,,,410 Main Street,North Little Rock ,Pulaski,Arkansas,72114,04/23/2016 to 10/22/2016,Sat: 7:00 AM-12:00 PM;,,,,,,,-92.267351,34.757408,,7/7/2016 16:52
1012334,Santa Monica Farmers Market - Saturday Downtown,http://www.smgov.net/portals/farmersmarket,Santa Monica Farmers Market,@smfms,,Instagram @smfms,2nd Street & Arizona Avenue,Santa Monica,Los Angeles,California,90405,01/01/2016 to 12/31/2016,,,,,,,,-118.4986283,34.0162113,,7/7/2016 17:14
1012335,Boulder Farmers Market ,http://www.bcfm.org,www.facebook.com/Boulder-Farmers-Market-512016698971120,www.twitter.com/bldrfarmersmkt,,www.instagram.com/boulderfarmersmarket,Canyon Boulevard and 13th Street ,Boulder,Boulder,Colorado,80302,04/02/2016 to 11/19/2016,Sat: 8:00 AM-2:00 PM;,05/04/2016 to 10/05/2016,Wed: 4:00 PM-8:00 PM;,,,,,-105.277638,40.015245,,7/7/2016 17:32
1012337,Gresham Saturday Market at MHCC,http://greshamsaturdaymarket.com,Gresham Saturday Market,twitter.com/gatmarket,,,,Gresham,Multnomah,Oregon,97030,04/16/2016 to 09/24/2016,Sat: 9:00 AM-3:00 PM;,,,,,,,-122.397929,45.518722,,7/7/2016 18:42
1012338,Watseka Farmers Market,http://watsekafarmersmarket.com,,,,,Rt 1 and 24,Watseka ,Iroquois,Illinois,60970,,Sat: 7:00 AM-12:00 PM;,,,,,,,-87.7344139,40.7762868,,7/7/2016 20:30
1012339,Paramount City Farmers' Market,http://Socalfarmersmarkets.net,www.facebook.com/paramountfarmersmarket,,,www.instagram.com/socalfarmersmarkets,15500 Downey Ave. ,Paramount ,Los Angeles,California,90723,01/01/2016 to 12/31/2016,Fri: 9:30 AM-1:30 PM;,,,,,,,-118.151223,33.891775,,7/7/2016 21:17
1012340,Lakewood Center Farmers' Market,http://Socalfarmersmarkets.net,www.facebook.com/lakewoodcenterfarmersmarket,,,www.instagram.com/socalfarmersmarkets,500 Lakewood Blvd,Lakewood ,Los Angeles,California,90712,01/01/2016 to 12/31/2016,Sat: 8:00 AM-12:30 PM;,,,,,,,-118.14222,33.852829,,7/7/2016 21:23
1012341,Farmers Market Place LLC,,www.facebook/farmersmarketplacellc,,,,1301 18th Ave NW,Austin,Mower,Minnesota,55912,05/19/2016 to 10/31/2016,Mon: 4:00 PM-6:00 PM;Thu: 4:00 PM-6:00 PM;Sat: 9:00 AM-12:00 PM;,,,,,,,-92.989549,43.682951,,7/7/2016 21:49
1012342,31 & Main Farmers Market at Campus Town,http://www.31mainfarmersmarket.com/,https://www.facebook.com/31mainfarmersmarket/,https://twitter.com/31MainFarmMarkt,,https://instagram.com/31MainFarmersMarket,1928 Pennington Road,Ewing,Mercer,New Jersey,8618,06/12/2016 to 10/30/2016,Sun: 10:00 AM-2:00 PM;,,,,,,,-74.783264,40.267025,,7/7/2016 22:12
1012343,Green Fork Farmers Market ,http://Greenforkfarmersmarket.locallygrown.net ,@greenforkfarmersmarket,,,,205 W. Dickson St. ,Fayetteville,Washington,Arkansas,72701,01/01/2016 to 12/31/2016,,,,,,,,-94.161898,36.065937,,7/7/2016 23:37
1012344,Latham Farmers Market,http://Lathamfarmersmarket.org,Latham Farmers Market,,,Instagram ,109 Weatherly Road,Huntsville ,Madison,Alabama,35803,05/03/2016 to 09/27/2016,,,,,,,,-86.5645725,34.6471516,,7/7/2016 23:49
1012345,Duvall Farmers Market,http://duvallfarmersmarket.org,http://www.facebook.com/pages/Duvall-Farmers-Market/141032938155,,,,Brown Ave,Duvall,King,Washington,98019,05/05/2016 to 10/13/2016,Thu: 3:00 PM-7:00 PM;,,,,,,,-121.985974,47.7382671,,7/8/2016 0:21
1012346,Keauhou Farmers Market,http://www.konacountyfarmbureau.org,https://www.facebook.com/KeauhouFarmersMarket/,,,,"78-6831 Alii Dr, Kailua-Kona, HI 96740",Kahaluu-Keauhou ,Hawaii,Hawaii,96740,01/01/2016 to 12/31/2016,Sat: 8:00 AM-12:00 PM;,,,,,,,-155.961611,19.570129,,7/8/2016 2:55
1012347,Wyandotte Farmers Market,http://wyandottefarmersmarket.com,wyandotte farmers market,,,,corner of First Street and Elm Street,Wyandotte ,Wayne,Michigan,48192,06/02/2016 to 10/20/2016,Thu: 12:00 PM-6:30 PM;,,,,,,,-83.1500042,42.2031602,,7/8/2016 6:47
1012348,Manitou Community Market,http://www.manitoucommunitymarket.org,Facebook at Manitou Community Market ,,,,,Manitou Springs,El Paso,Colorado,80829,07/07/2016 to 10/06/2016,Thu: 3:00 PM-7:00 PM;,,,,,,,-104.912813,38.858322,,7/8/2016 8:51
1012349,Fresh Marketplace @ New Wilmington Center,,,,,,129 Chestnut Street,New Wilmington,Lawrence,Pennsylvania,16142,05/19/2016 to 09/29/2016,Thu: 4:00 PM-7:00 PM;,,,,,,,-80.3321924,41.1216065,,7/8/2016 9:47
1012351,St. Joseph Farmers Market,http://www.stjosephfarmersmarket.com/,https://www.facebook.com/stjosephfarmersmarket/?fref=ts,,,,"610 N. Co. Rd. 2, St. Joseph, MN",St. Joseph,Stearns,Minnesota,56374,05/13/2016 to 09/09/2016,Fri: 3:00 PM-6:30 PM;,09/16/2016 to ,Fri: 3:00 PM-7:00 PM;,09/23/2016 to 10/21/2016,Fri: 3:00 PM-6:00 PM;,,,-94.317981,45.570734,,7/8/2016 9:59
1012353,Seymour Area Farmers Market,,https://www.facebook.com/Seymour-Area-Farmers-Market-220617751321790/,@SeymourFarmMkt,,Instagram:  @seymourfarmmarket,Walnut St and Saint Louis Ave.,Seymour,Jackson,Indiana,47274,05/28/2016 to 10/29/2016,Wed: 4:00 PM-6:00 PM;Sat: 8:00 AM-1:00 PM;,,,,,,,-85.8914498,38.9578388,,7/8/2016 11:37
1012355,GPS Farmers Market,http://www.GPSFaith.com,GPS Farmers Market,,,GPSMarket (instagram),10714 N. 2nd Street,Machesney Park,Winnebago,Illinois,61111,05/26/2016 to 09/22/2016,Thu: 3:00 PM-7:00 PM;,,,,,,,-89.031468,42.373537,,7/8/2016 11:42
1012356,Riverside Arts Market,http://riversideartsmarket.com,Riverside Arts Market ,RiversideArtsMarket@RAMJacksonville,,,715 Riverside Avenue,Jacksonville,Duval,Florida,32204,01/01/2016 to 12/31/2016,Sat: 10:00 AM-4:00 PM;,,,,,,,-81.676293,30.316698,,7/8/2016 12:01
